Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Khác,Link
Chuyên Viên Digital Marketing,Minu Pte. Ltd,10 Tr - 15 Tr VND,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , CNTT - Phần mềm",2 - 10 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCBằng cấp trong lĩnh vực Marketing, Quảng cáo, Kinh doanh hoặc lĩnh vực liên quan.Ít nhất 2 năm kinh nghiệm trong lĩnh vực quảng cáo trực tuyến, ưu tiên kinh nghiệm với quảng cáo ứng dụng.Kỹ năng phân tích và hiểu biết vững chắc về Google Analytics, Facebook Insights và các công cụ phân tích quảng cáo khác.Kỹ năng quản lý ngân sách và hiểu biết về ROI và KPIs.Sự sáng tạo trong việc phát triển ý tưởng quảng cáo và khả năng giải quyết vấn đề.Kỹ năng giao tiếp và làm việc nhóm tốt.ĐỊA ĐIỂM LÀM VIỆC:Tòa Viwaseen, 48 Tố Hữu, Nam Từ Liêm, Hà Nội","Độ tuổi: Không giới hạn tuổiThời gian làm việc: Từ thứ 2 đến thứ 6, 8:30-18:00Đồng nghiệp: Trẻ trung, nhiệt huyết, ham học hỏi, sáng tạoPhúc lợi: Các chính sách BHXH, BHYT và các phúc lợi khác theo quy định của Luật lao động và quy chế Công tyNgày nghỉ: 12 ngày phép có lương mỗi nămLương: 10 Tr - 15 Tr VND",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-digital-marketing.35BF2F75.html
Chuyên Viên Digital Marketing (Facebook Ads - Part time),BỤITOUR - CÔNG TY TNHH GIÁO DỤC VÀ DU LỊCH NGÀY MAI,4 Tr - 8 Tr VND,Hồ Chí Minh,13/12/2023,Nhân viên,Tiếp thị / Marketing,1 - 3 Năm,Bán thời gian,YÊU CẦU CÔNG VIỆC- Có kinh nghiệm ở vị trí tương đương ít nhất 6 tháng- Ưu tiên các bạn có kinh nghiệm làm việc trong ngành du lịch,Độ tuổi: Không giới hạn tuổiLương: 4 Tr - 8 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-digital-marketing-facebook-ads-part-time.35BF2F69.html
Chuyên viên Video Editor _ Phòng Truyền thông - Tuyển sinh _ Trường Đại học Tân Tạo,TRƯỜNG ĐẠI HỌC TÂN TẠO,12 Tr - 16 Tr VND,Long An,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Mỹ thuật / Nghệ thuật / Thiết kế",Trên 1 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCTrình độ chuyên môn: Cao đẳng, Đại họcTiếng Anh giao tiếp tốt là ưu thếThông thạo tin học văn phòngNgoại hình ưa nhìn, sức khỏe tốtSử dụng thành thạo các phần mềm chỉnh sửa, biên tập videoCó sự nhạy bén, cảm nhận tinh tế với hình ảnh, âm thanh và màu sắcTư duy sáng tạo, nắm bắt các xu hướng nội dung videoCẩn trọng, tỉ mỉ trong công việcKinh nghiệm 1 năm trở lên trong công tác video editorCó khả năng thu hút và thuyết phục người nghe",Bằng cấp: Cao đẳngThời gian thử việc: 2 thángĐộ tuổi: Không giới hạn tuổiLương: 12 Tr - 16 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-video-editor-_-phong-truyen-thong-tuyen-sinh-_-truong-dai-hoc-tan-tao.35BF2F32.html
Marketing Manager (Fashion Retail),Công ty TNHH Thời trang & Mỹ phẩm Âu Châu ACFC,Cạnh tranh,Hồ Chí Minh,13/12/2023,Quản lý,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ",4 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCMinimum 5 years’ experience in same level position, prefer candidates have experience in Retail industry.Strong reporting skills.Pro-active, adaptive and good follow-throughPositive attitude, result oriented, resourceful, innovativeGood command of English in writing & speakingHas experience in opening new stores activities and activationCompetent in office computer skillsHighly committed, passion, well organized, pro-active, honest, integrity, detailed, persevere and diligent",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/marketing-manager-fashion-retail.35BF2E7E.html
Sales Executive (TA & Corp),CÔNG TY TNHH ĐẦU TƯ & PHÁT TRIỂN AK (VIỆT NAM),Cạnh tranh,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Nhà hàng / Khách sạn",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCPerson SpecificationsQualifications:Bachelor’s degree / higher education qualification / equivalent in Hotel Administration, Business Administration.Experience:Experience equivalent (1-2 year at hotel/resort) Specific skills / abilities:Communication, interpersonal, negotiation, presentation and organizational skills. A positive attitude and excellent communication skills, ability to remain calm whilst under pressure Personal qualities:Overall and detail oriented ",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/sales-executive-ta-corp.35BF2EAD.html
Nhân viên Trade Marketing,CÔNG TY TNHH THƯƠNG MẠI NTB PHARMANEW,11 Tr - 13 Tr VND,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCCó ít nhất từ 6 tháng – 1 năm kinh nghiệm trong lĩnh vực tương đương.Úng viên có kinh nghiệm trong ngành dược phẩm y tế, mỹ phẩm, thẩm mỹ, mẹ và bé, hàng tiêu dùng nhanh là một lợi thếKhả năng làm việc đội nhóm hiệu quảCó kiến thức cơ bản về Marketing, am hiểu thị hiếu và hành vi người dùng.Nhạy cảm về kinh doanh, kinh tế và thị trường, hiểu được nhu cầu của thị trườngCó khả năng phối hợp, làm việc nhóm hiệu quả.Năng động, sáng tạo, linh hoạt, tinh thần trách nhiệm cao. Thái độ cầu thị, hòa nhã, phối hợp tốt với các phòng ban",Độ tuổi: 19 - 35Lương: 11 Tr - 13 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-trade-marketing.35BF2F31.html
Key Account Planning Executive,Wipro Consumer Care Vietnam,Cạnh tranh,Hồ Chí Minh,13/12/2023,Nhân viên,"Kế toán / Kiểm toán , Bán hàng / Kinh doanh , Tiếp thị / Marketing",2 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCAt least 2 year-experience working in MT field, in a international FMCG companyExperienced in Trade Marketing is preferredCompetent and experienced in dealing with MT buyers and customers Good at planning and negotiationComputer literacy in MS OfficeProficient in English (Reading, Writing, Listening and Speaking)",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/key-account-planning-executive.35BF2F2E.html
NHÂN VIÊN KINH DOANH NHA KHOA,Công Ty CP Công Nghệ DNG,9 Tr - 15 Tr VND,Hồ Chí Minh,13/12/2023,Sinh viên/ Thực tập sinh,"Tiếp thị / Marketing , Y tế / Chăm sóc sức khỏe , Ngành khác",Not Define,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCKinh nghiệm 1 năm, sẽ được đào tạo và hướng dẫn thêm.Có Kỹ năng tin học Văn Phòng.Có chuyên môn về mảng Nha Khoa",Độ tuổi: 20 - 40Lương: 9 Tr - 15 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-nha-khoa.35BF2F29.html
Nhân Viên Thiết Kế Bao Bì Sản Phẩm,CÔNG TY TNHH NƯỚC GIẢI KHÁT TÂN ĐÔ,Cạnh tranh,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế , In ấn / Xuất bản",Trên 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCCó kinh nghiệm làm thiết kế ít nhất 2 năm.Sử dụng “thành thạo” phần mềm thiết kế: Photoshop (Ps), Illustrator (AI)…Các phần mềm liên quan Social media là lợi thế.Có khả năng làm việc độc lập cũng như tinh thần làm việc theo nhóm;Có óc sáng tạo, gu thẩm mỹ phù hợp.Ưu tiên ứng viên có kinh nghiệm thiết kế nhãn mác, khả năng chụp ảnh sản phẩm…QUYỀN LỢI ỨNG VIÊNMức lương : 15.000.000đ  trở lên (thỏa thuận theo năng lực & kinh nghiệm)Hưởng đầy đủ các chính sách BHXH theo đúng quy định pháp luật.Xét tăng lương hàng năm.Thưởng theo mẫu thiết kế, thưởng lương tháng 13Được tin tưởng và tạo điều kiện tốt nhất để khẳng định năng lực bản thân.Mọi đãi ngộ, ghi nhận đánh giá dựa trên chất lượng công việc.Làm việc trong môi trường năng động, cạnh tranh.Đồng nghiệp trẻ trung, vui vẻ, hòa đồng.Được thưởng thâm niên, tham gia du lịch team building cùng công ty.",Độ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-thiet-ke-bao-bi-san-pham.35BF2F1F.html
Chuyên Viên Kinh Doanh (Mảng Quảng Cáo),CÔNG TY TNHH CỐC CỐC,15 Tr - 22 Tr VND,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",3 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCTừ 3 năm kinh nghiệm làm việc với vai trò phát triển kinh doanh/ bán hàng trong ngành truyền thông/ quảng cáo hoặc các sản phẩm tương tự với Cốc Cốc.Có mối quan hệ/ network tốt với khách hàng B2B, đặc biệt là các nhãn hàng lớn.Có kinh nghiệm hoặc hiểu biết tốt với các giải pháp Digital Marketing hoặc định dạng khác của Marketing.Có hiểu biết tốt về ngành, sản phẩm/dịch vụ, thị trường quảng cáo trực tuyến.Có kỹ năng giao tiếp và trình bày thuyết trình tốt.Có khả năng sử dụng tốt các công cụ Google Sheet, Office (Word, Excel, PPT)Có thể sử dụng tiếng anh là một lợi thế",Độ tuổi: Không giới hạn tuổiLương: 15 Tr - 22 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-mang-quang-cao.35BF2EEA.html
Nhân viên bán hàng thời trang HÀ NỘI,CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN SOHEE HÀN QUỐC - DE OBELLY,6 Tr - 8 Tr VND,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Not Define,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Nam/ nữ ngoại hình ưa nhìn- Nhanh nhẹn, trung thực, làm việc nhóm- Chịu khó, chăm chỉ- Có khả năng tư vấn tốt, ưu tiên ứng viên có kinh nghiệm thời trangThời gian làm việc: 8h – 16h30 hoặc 13h30 – 22h (nghỉ ăn ca 30p)- Thu nhập hấp dẫn: LC + phụ cấp ăn ca + % DS ","Phụ cấp khác:- Trả phép bằng tiền mặt khi không nghỉ hết.- Tham gia đầy đủ các loại BHXH sau thử việc- Lộ trình thăng tiến rõ ràng.- Văn hóa công ty lâu năm, ghi nhận tưởng thưởng xứng đángThời gian thử việc: Thử việc: 01 - 02 tháng (tùy năng lực)Độ tuổi: 21 - 30Phúc lợi:- Thử việc 2 tháng nhận 85% lương- Tăng lương định kỳ, khi không vi phạm nội quy- Môi trường sạch sẽ, an toàn, chuyên nghiệp.- Thưởng theo chế độ công ty: Tháng lương 13, thưởng doanh thu.......Lương: 6 Tr - 8 Tr VND",https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-ban-hang-thoi-trang-ha-noi.35BF2EDA.html
Performance Marketing Executive,ILA Việt Nam,Cạnh tranh,Hồ Chí Minh,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Tiếp thị trực tuyến",3 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- At least 3 years of experience in digital media/digital marketing/digital optimization (working experience in agency or in education industry is an advantage)- Good in Facebook Ad, Tiktok Ad, Zalo Ad, Google Ad, Google analytic- Able to work under high pressure- Strong numerical, logical thinking and detail-oriented- Multi-Tasking capability, well organized, deadlines and KPIs compliance- Good in communication, being solutions-oriented, result-oriented- Responsibility, creativity, open minded and willing to learn- Good in MS Office: Excel, Word, Powerpoint.- BA in Marketing, Business Administration, Economics or related majors.- Good English skills in both writing and speaking",Bằng cấp: Cao đẳngĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/performance-marketing-executive.35BF2ECE.html
Account manager,CÔNG TY CỔ PHẦN MEGA SUN,10 Tr - 18 Tr VND,Hà Nội,13/12/2023,Trưởng nhóm / Giám sát,Tiếp thị / Marketing,2 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCTốt nghiệp Cao đẳng/Đại học chuyên ngành Kinh tế, Quản trị kinh doanh, Marketing….Có kinh nghiệm 3-5 năm trở lên ở vị trí tương đương- Thành thạo các công cụ MS Office- Kỹ năng đàm phán và thuyết trình, tạo dựng và xây dựng mối quan hệ, xây dựng đội nhóm- Kỹ năng quản lí thời gian và lên kế hoạch- Chịu áp lực công việc cao & có thể thu xếp đi công tác khi cần- Kỹ năng phân tích & tổng hợp tốt- Có khả năng quyết định và xử lý công việc nhanh- Thời gian làm việc: Từ T2 đến hết sáng T7 hàng tuần.- Yêu cầu về phương tiện làm việc: Không yêu cầu Laptop cá nhân (Công ty cung cấp).",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: 10 Tr - 18 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/account-manager.35BF2EC0.html
Nhân Viên Tổ Chức Sự Kiện/Event Marketing,Công Ty Cổ Phần Sản Xuất Nhựa Duy Tân,Cạnh tranh,Hồ Chí Minh,13/12/2023,Nhân viên,"Nhà hàng / Khách sạn , Tiếp thị / Marketing",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Tốt nghiệp trung cấp, cao đẳng trở lên các chuyên ngành Marketing và các chuyên ngành liên quan- Có ít nhất 2 năm kinh nghiệm ở vị trí tương đương- Có khả năng nghiên cứu, tự tìm kiếm, phân tích, tổng hợp và xử lý thông tin- Sáng tạo, tư duy cởi mở, có khả năng nắm bắt xu hướng- Kỹ năng quản lý thời gian, chủ động, chịu được áp lực công việc- Kỹ năng làm việc độc lập, làm việc nhóm- Kỹ năng giao tiếp phát triển mối quan hệ và đối tác- Cẩn thận, chỉnh chu, tỉ mỉ trong công việc- Có thể làm việc vào cuối tuần",Độ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-to-chuc-su-kien-event-marketing.35BF2EA3.html
Nhân Viên Marketing,CÔNG TY TNHH COTG FOOD TECH VIỆT NAM,10 Tr - 15 Tr VND,Hồ Chí Minh,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Thực phẩm & Đồ uống",1 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Tốt nghiệp CĐ/ĐH chuyên ngành có liên quan- Tối thiểu 01 năm kinh nghiệm ở vị trí Marketing Communications, Social Media,... hoặc vị trí tương đương. Ưu tiên ứng viên có kinh nghiệm làm việc trong ngành bán lẻ- Hiểu biết về content marketing, truyền thông thương hiệu- Biết sử dụng Photoshop, Canva, AI và các phần mềm đồ họa khác, có khả năng edit hình ảnh, video, có khả năng chụp hình/ quay clip sản phẩm bằng điện thoại hoặc máy ảnh là một lợi thế- Nắm các kỹ thuật tăng tương tác khi sản xuất hình ảnh, video- Nhiệt tình, nhanh nhẹn, hoạt bát và có trách nhiệm với công việc- Có kĩ năng giao tiếp, trình bày và thương lượng tốt- Có tinh thần cầu tiến, chủ động trong công việc- Trung thực, cẩn thận, tỉ mỉ",Bằng cấp: Cao đẳngĐộ tuổi: 22 - 35Lương: 10 Tr - 15 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-marketing.35BF2EA0.html
Brand Communication Planner,True North School,Cạnh tranh,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Giáo dục / Đào tạo",2 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC●       Bachelor degree in Marketing, Business or other related fields, studying abroad is a plus;●       At least 2 years of relevant experience in campaign execution & planning on multi channels;●       Have working experience in a performance media agency or in the education field is a plus;●       Demonstrated knowledge of Google analytics and SEM-SEO implementation to effectively manage content and media performance. Experience in:+ Optimizing landing pages and user funnels.+ Google Ads, Facebook, GDN,…+ A/B testing UI, UX●       Good verbal and written communication skills in English and Vietnamese;●       Well-developed interpersonal skills: coordination, liaison, negotiation, and multicultural communication;●       Always put customers at the center, love what you do, love giving the best values to customers●       Pay attention to details, stick to deadlines, and have the ability to multitask.",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/brand-communication-planner.35BF2EA1.html
TRƯỞNG CHI NHÁNH - NHA KHOA,CÔNG TY TNHH VẠN THÀNH SÀI GÒN,Cạnh tranh,Bà Rịa - Vũng Tàu,13/12/2023,Trưởng nhóm / Giám sát,"Tiếp thị / Marketing , Y tế / Chăm sóc sức khỏe , Quản lý điều hành",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCTốt nghiệp cao đẳng trở lên chuyên nghành quản trị nhân sự, kinh doanh, kinh tế,...Kinh nghiệm từ 2 năm vị trí tương đươngSử dụng thành thạo tin học văn phòngNgoại hình ưa nhìn, giọng nói dễ ngheKhả năng quản lý, kiểm soát tốt Kỹ năng giao tiếp, xử lý các tình huống linh hoạt, nắm bắt tâm lý khách hàng tốtKhả năng đào tạo, hướng dẫn nhân viênThái độ hòa nhã, chuẩn mựcTrung thực, cẩn thận, có tinh thần trách nhiệm, chịu áp lực trong công việc.Có thể di chuyển giữa các chi nhánh",Bằng cấp: Cao đẳngĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/truong-chi-nhanh-nha-khoa.35BF2E91.html
Nhân viên Brand Marketing (Chuyên viên thương hiệu marketing),Công Ty TNHH TM & XNK Nhất Lâm,15 Tr - 17 Tr VND,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông",2 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Tốt nghiệp chuyên ngành Marketing có ít nhất 2 năm kinh nghiệm- Có thể sắp xếp đi làm luôn khi trúng tuyển- Kĩ năng tổ chức, sắp xếp công việc tốt- Tư duy nhạy bén, nhanh nhẹn, hoạt bát- Cẩn thận, tỉ mỉ, độ chính xác trong công việc- Gắn bó lâu dài với Công ty",Bằng cấp: Đại họcĐộ tuổi: 23 - 40Lương: 15 Tr - 17 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-brand-marketing-chuyen-vien-thuong-hieu-marketing.35BF2E8E.html
Channel Development Lead (MT/ GT),Panasonic Sales Vietnam,Cạnh tranh,Hồ Chí Minh,13/12/2023,Trưởng nhóm / Giám sát,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",5 - 10 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCA least 3 years work experience (prior experience in electronics consumer in preferred)Strong analytical skills, negotiation, leadership skills.Good command in English & Microsoft Office.Good communication skills and high teamwork spirit.Active and future-oriented.",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/channel-development-lead-mt-gt.35BF2D3F.html
Nhân viên Marketing,CÔNG TY TNHH MTV ỨNG DỤNG MỸ THUẬT & QUẢNG CÁO VŨ TRẦN,8 Tr - 12 Tr VND,Hồ Chí Minh,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Y tế / Chăm sóc sức khỏe , In ấn / Xuất bản",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCTrình độ học vấn: Tốt nghiệp Cao đẳng, Đại học chuyên nghành Truyền thông, Marketing…hoặc những nghành học có liên quan.Khả năng ngoại ngữ: Chứng chỉ Anh Văn B, Toeic 450 trở lênKinh nghiệm: Kinh nghiệm tối thiểu 1 - 2 năm làm việc tại vị trí tương đươngKỹ năng: Nhanh nhẹn, nhiệt huyết, chính xác, ngăn nắp và gọn gàng    ","Bằng cấp: Cao đẳngThời gian thử việc: 02 ThángĐộ tuổi: Không giới hạn tuổiThời gian làm việc: Từ Thứ 2 đến Thứ 6, 8:00 đến 17:00, thứ 7 từ 8:00 đến 12:00Đồng nghiệp: Trẻ trung, thân thiện, hòa đồngLương: 8 Tr - 12 Tr VND",https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-marketing.35BF29E8.html
Chuyên viên Content (Mỹ Phẩm),CÔNG TY TNHH MTV MOMMY & BABY CENTER,10 Tr - 12 Tr VND,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Truyền hình / Báo chí / Biên tập",1 - 3 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCIII/ YÊU CẦU·         Cao đẳng trở lên chuyên ngành: Quản trị kinh doanh, báo chí, marketing, ngoại giao, kinh tế.·         Có từ 1 năm kinh nghiệm ở vị trí tương đương·         Nắm vững kiến thức chuyên môn đảm nhiệm                                                           ·         Nắm được kiến thức về các dịch vụ đang được cung cấp bởi công ty                      ·         Có kỹ năng viết bài, biên tập tin nhanh, văn phong đa dạng - linh hoạt, phù hợp với những đối tượng nhận tin khác nhau                             ·         Kỹ năng tìm kiếm khai thác thông tin trên internet                           ·         Kỹ năng giao tiếp, lập kế hoạch, phân tích, giải quyết vấn đề·         Ham học hỏi, cẩn thận tỉ mỉ, chịu được áp lực công việc. IV/ QUYỀN LỢI·         Lương thưởng hấp dẫn, 10tr- 12tr; Phụ cấp ăn trưa.·         Thời gian làm việc: Thứ Hai đến Thứ Sáu và 02 Thứ 7 trong tháng·         Được hưởng đầy đủ các chế độ đãi ngộ theo Luật Lao động Việt Nam (BHXH, BHYT…);·         Môi trường làm việc tập hợp những người trẻ trung, thân thiện và năng động, sáng tạo,·         Được hỗ trợ định hướng công việc và lộ trình nghề nghiệp và lộ trình phát triển bản thân rõ ràng.·         Được xét duyệt tăng lương định kỳ & thưởng cuối năm theo kết quả công việc.·         Được tham gia teambuilding, tổ chức sinh nhật, du lịch hàng năm. ·         Thưởng lễ, Tết, Lương tháng 13, các chế độ đãi ngộ.",Bằng cấp: Đại họcĐộ tuổi: Không giới hạn tuổiLương: 10 Tr - 12 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-content-my-pham.35BF2E6D.html
Marketing Executive (Bến Cát - Bình Dương),Công Ty CP Liên Kết Quốc Tế INTERLINK (Trường Liên Kết Quốc Tế INschool & Anh ngữ Quốc Tế INS English),10 Tr - 15 Tr VND,Bình Dương,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông",1 - 2 Năm,Nhân viên chính thức,YÊU CẦU CÔNG VIỆC- Tốt nghiệp cao đẳng/đại học các chuyên ngành Marketing.- Có kinh nghiệm và nghiệp vụ Marketing.- Hiểu biết về ngành Giáo dục.- Kỹ năng quản lý đội ngũ & xây dựng tinh thần team work.- Khả năng giao tiếp tiếng Anh.,Bằng cấp: Cao đẳngĐộ tuổi: Không giới hạn tuổiLương: 10 Tr - 15 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/marketing-executive-ben-cat-binh-duong.35BF2E68.html
Marketing Executive (Long Khánh - Đồng Nai),Công Ty CP Liên Kết Quốc Tế INTERLINK (Trường Liên Kết Quốc Tế INschool & Anh ngữ Quốc Tế INS English),9 Tr - 14 Tr VND,Đồng Nai,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông",1 - 2 Năm,Nhân viên chính thức,YÊU CẦU CÔNG VIỆC- Tốt nghiệp cao đẳng/đại học các chuyên ngành Marketing.- Có kinh nghiệm và nghiệp vụ Marketing.- Hiểu biết về ngành Giáo dục.- Kỹ năng quản lý đội ngũ & xây dựng tinh thần team work.- Khả năng giao tiếp tiếng Anh.,Bằng cấp: Cao đẳngĐộ tuổi: Không giới hạn tuổiLương: 9 Tr - 14 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/marketing-executive-long-khanh-dong-nai.35BF2E63.html
Chuyên viên Digital marketing,CÔNG TY TNHH THƯƠNG MẠI NTB PHARMANEW,12 Tr - 17 Tr VND,Hà Nội,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Bán hàng / Kinh doanh",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆCAm hiểu chạy quảng cáo trên các nền tảng Online, ứng viên có kinh nghiệm ít nhất 6 tháng - 1 năm ở vị trí tương đươngAm hiểu sâu về viết bài (content): ads, kịch bản, báo chí, seo, bài papge, sách và tạp chí.Am hiểu sâu về các công cụ đo lường hiệu quả quảng cáo",Độ tuổi: 19 - 30Lương: 12 Tr - 17 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-digital-marketing.35BF2E64.html
Chuyên viên Digital Marketing,Công ty Cổ Phần Dịch Vụ Hàng Không Sân Bay Tân Sơn Nhất,Cạnh tranh,Hồ Chí Minh,13/12/2023,Nhân viên,"Tiếp thị / Marketing , Tiếp thị trực tuyến , Hàng không",3 - 5 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC- Tốt nghiệp Đại học trở lên chuyên ngành Kinh tế, Marketing, Quản trị kinh doanh và các chuyên ngành có liên quan- Có ít nhất 3 năm kinh nghiệm tại vị trí tương đương- Am hiểu về SEO, PPC, Google AdWords, hệ thống quản trị nội dung, quảng cáo Facebook,...- Kỹ năng làm việc nhóm, kỹ năng giao tiếp tốt, cẩn thận trong công việc- Sử dụng thành thạo tiếng Anh là một lợi thế",Bằng cấp: Đại họcĐộ tuổi: 25 - 40Lương: Cạnh tranh,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-digital-marketing.35BF2E53.html
Nhân viên Sales Admin,Công Ty Cổ Phần Gỗ An Cường,10 Tr - 15 Tr VND,Hồ Chí Minh,13/12/2023,Nhân viên,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tiếp thị / Marketing",1 - 2 Năm,Nhân viên chính thức,"YÊU CẦU CÔNG VIỆC1. Phẩm chất cá nhânNăng động, nhanh nhẹn, khả năng giao tiếp lưu loátCẩn thận, tỉ mỉ, trung thựcChịu được áp lực ao trong công việc2. Chuyên mônTốt nghiệp Cao đẳng, Đại học các chuyên ngành Quản trị kinh doanh, Kế toán, Kinh tế,... hoặc các chuyên ngành có liên quan xuất khẩu, kinh doanh quốc tế, thương mạiCó 1 - 2 năm kinh nghiệmSử dụng thành thạo Tin học văn phòngTừng sử dụng phần mềm SAP, CRM là một lợi thếTiếng Anh đáp ứng nhu cầu công việc",Bằng cấp: Cao đẳngĐộ tuổi: Không giới hạn tuổiLương: 10 Tr - 15 Tr VND,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-sales-admin.35BF2E5B.html
