Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Số lượng,Link
Chuyên Viên Digital Marketing,Công ty Cổ Phần Tập Đoàn Bất Động Sản CRV,9 - 13 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoThiết kế đồ họa,1 năm,Toàn thời gian,"• Kỹ năng viết bài, kỹ năng biên tập các nội dung hữu ích.• Kỹ năng hiểu biết cơ bản về công nghệ như thiết kế đồ họa, sử dụng các mã nguồn mở,...• Kỹ năng viral, lan tỏa,...• Kỹ năng tương tác với người dùng.• Khả năng tìm hiểu các chính sách ở các trang mạng xã hội.• Có kỹ năng tối ưu hóa các công cụ tìm kiếm như Cốc Cốc, Google,..• Tối thiểu từ 2 năm kinh nghiệm làm việc ở vị trí liên quan.• Sử dụng tốt phần mềm phục vụ sáng tạo video như: Adobe Premiere, After Effects, Adobe Audition, Photoshop,... ;Lợi thế nếu biết: Sử dụng phần mềm để dựng animation/ video 3D cơ bản, thực livestream.• Sử dụng tốt máy quay / chụp và các thiết bị phụ trợ (công ty có sẵn thiết bị như máy quay Sony, máy chụp Canon, các loại mic thu âm, đèn...).• Kỹ năng tốt về lên ý tưởng, viết kịch bản và Kỹ năng hiện thực hóa ý tưởng thành sản phẩm Video.• Có kiến thức cơ bản về animation, kiến thức về truyền thông/ PR.• Có tư duy thẩm mỹ tốt, chịu khó tìm tòi, học hỏi, update trending.• Tỉ mỉ cẩn thận, có trách nhiệm cao, quản lý thời gian hiệu quả• Năng động, giao tiếp tốt, hòa đồng, có thái độ tích cực và nghiêm túc trong công việc.• Giới tính: Nam/Nữ",1 người,https://www.topcv.vn/viec-lam/chuyen-vien-digital-marketing/1136405.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Video Editor,Công ty TNHH Thương mại và Dịch vụ OTL,10 - 15 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoThiết kế đồ họa,Không yêu cầu kinh nghiệm,Toàn thời gian,"Ưu tiên người có kinh nghiệm làm việc ở vị trí Video Editor hoặc tương tự từ 1 năm trở lên.Thành thạo các phần mềm thiết kế như Adobe Premier, Photoshop, IllustratorCó khả năng tư duy, logic về hình ảnh, có kỹ năng lấy góc máy, ánh sáng, bố cục tốt là một lợi thế.Có kiến thức về kỹ thuật hình ảnh, ánh sáng, am hiểu về các thiết bị quay phim.",1 người,https://www.topcv.vn/viec-lam/video-editor/1189700.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Trưởng Nhóm Design - Thẩm Mỹ Viện,CHI NHÁNH THẨM MỸ VIỆN NEVADA - CÔNG TY TNHH QUỐC TẾ NEVADA,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 06/01/2024,Trưởng nhóm,Marketing / Truyền thông / Quảng cáoY tế / DượcSpa / Làm đẹp,2 năm,Toàn thời gian,"Tối thiểu 2 năm kinh nghiệm trong lĩnh vực tương đương (Thời trang, chăm sóc sức khoẻ, làm đẹp...)Ưu tiên ứng viên có kinh nghiệm quản lý nhómƯu tiên ứng viên có kinh nghiệm Design lĩnh vực Thời trang cao cấpSử dụng thành thạo các công cụ thiết kế phổ biến như Illustrator, PhotoshopKhả năng làm việc theo nhóm, sáng tạo, chịu được áp lực trong công việc",1 người,https://www.topcv.vn/viec-lam/truong-nhom-design-tham-my-vien/1191104.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên Content,Công Ty Cổ Phần Bệnh Viện Thú Y PetHealth,11 - 13 triệu,Hà Nội,Hạn nộp hồ sơ: 31/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoCông nghệ thông tinNgành nghề khác,1 năm,Toàn thời gian,"Tốt nghiệp đại học chuyên ngành Marketing, Truyền thông, Báo chí, Ngôn ngữ, v.v. hoặc có kinh nghiệm tương đương. Có ít nhất 1 năm kinh nghiệm làm việc trong lĩnh vực content marketing, biết sử dụng các công cụ và phần mềm liên quan, như WordPress, Google Analytics, Mailchimp, v.v.Có kỹ năng nghiên cứu, khai thác và chọn lọc thông tin, cũng như biết cách phân tích nhu cầu và hành vi của khách hàng. Có kỹ năng giao tiếp, viết lách tốt, có khả năng tạo ra các nội dung sáng tạo, hấp dẫn và thuyết phục. Có kỹ năng SEO, biết cách tối ưu hóa nội dung cho các công cụ tìm kiếm và các kênh truyền thông khác nhau. Có kỹ năng quản lý thời gian, tự chủ, chịu áp lực cao và có tinh thần làm việc nhóm.",1 người,https://www.topcv.vn/viec-lam/nhan-vien-content/1190775.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Shoppertainment Creator Operation,Công ty Cổ phần Phát triển Truyền thông Quảng cáo MAC Việt Nam (MCV Corporation),10 - 15 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 31/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,2 năm,Toàn thời gian,"Khả năng giao tiếp, xử lý tình huống Có kinh nghiệm làm việc với Creator/KOL hoặc sản xuất nội dung Tiktok/ livestream là một lợi thế. Có kinh nghiệm trong ngành marketing, truyền thông sáng tạo Có khả năng làm việc nhóm, lập kế hoạch, báo cáo và trình bày ý tưởng một cách rõ ràng",2 người,https://www.topcv.vn/viec-lam/shoppertainment-creator-operation/1190922.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Brandformance Planner,CÔNG TY CỔ PHẦN TRUYỀN THÔNG TOÀN CẦU OMEGA,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,1 year experience in brand & communication planning (IMC or Digital agency)2-year experience in digital planning/ growth marketer/ growth hackerFamiliar with tracking and analysis platformStrong analytical thinking and data-driven mindsetA persuasive and creative approach to strategic proposalExcellent communication skillsEffective cross-team coordinationA keen attention to detail and timescalesFamiliarity with planning & creative processes and techniques – including digital media,1 người,https://www.topcv.vn/viec-lam/brandformance-planner/1191170.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên Truyền Thông Đối Ngoại,Công ty TNHH Dịch vụ Truyền thông và GP Marketing MekongPro,Thoả thuận,Cần Thơ,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Biên / Phiên dịchMarketing / Truyền thông / Quảng cáoTổ chức sự kiện / Quà tặng,2 năm,Toàn thời gian,"Tốt nghiệp các chuyên ngành : Marketing, Báo chí,Truyền thông, Quản trị kinh doanh hoặc các ngành liên quan.Ưu tiên có trình độ ngoại ngữ: Anh, HoaCó kinh nghiệm làm việc ở vị trí hiện tại hoặc Kinh nghiệm tổ chức các sự kiện với quy mô lớn.Các kỹ năng yêu cầu:- Thành thạo vi tính văn phòng (word, exel, power point)- Có khả năng tổ chức, sắp xếp công việc- Kỹ năng xây dựng Content Marketing- Có khả năng điều phối -lên kế hoạch -quy trình -chính sách và thực thi, kiểm soát.- Kỹ năng giao tiếp tốt, xử lý tình huống linh hoạt, khả năng ứng biên cao- Kỹ năng làm việc nhóm- Kỹ năng trình bày và thuyết trình trước đám đông- Kỹ năng tổ chức các hoạt động vui chơi, sinh hoạt tập thể, khả năng dẫn chương trình, hoạt náo.- Kỹ năng quản lý thời gian và sắp xếp công việc.",1 người,https://www.topcv.vn/viec-lam/nhan-vien-truyen-thong-doi-ngoai/1190918.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Content Tiktok Creator,Công ty TNHH Thời trang MInh A.M,10 - 20 triệu,Hà Nội,Hạn nộp hồ sơ: 15/01/2024,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoThời trang,1 năm,Toàn thời gian,"Có 1 năm kinh nghiệm ở vị trí tương đương hoặc content creatorCÓ PORTFOLIOƯu tiên có kinh nghiệm trong lĩnh vực thời trang nam.Có tính sáng tạo và chủ động trong công việcKỹ năng giao tiếp và làm việc nhóm tốt- Kỹ năng:Kỹ năng quản lý công việc, lập kế hoạchKỹ năng làm việc nhóm, xây dựng mối quan hệKỹ năng bao quát, giám sát",1 người,https://www.topcv.vn/viec-lam/content-tiktok-creator/1190752.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên Kinh Doanh,Công ty TNHH SX & TM Tân Việt Anh,Thoả thuận,Hưng Yên,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Kinh doanh / Bán hàngIn ấn / Xuất bảnMarketing / Truyền thông / Quảng cáo,Dưới 1 năm,Toàn thời gian,"Kinh nghiệm0 - 1 năm kinh nghiệmBằng cấpCao đẳng trở lênGiới tínhKhông yêu cầu- Nam/Nữ tốt nghiệp CĐ/ĐH các chuyên ngành kinh tế.- Có kỹ năng giao tiếp tốt.- Có khả năng lập kế hoạch, quản lý, sắp xếp, triển khai công việc.- Tinh thần cầu tiến, ham học hỏi, chịu được áp lực công việc.- Có trách nhiệm trong công việc.",5 người,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/1190765.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên SEO,FINTECH DRACO CORPORATION,Tới 8 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,IT phần mềmMarketing / Truyền thông / Quảng cáoCông nghệ thông tinViệc làm IT,1 năm,Toàn thời gian,"Tốt nghiệp Đại học thuộc các chuyên ngành: công nghệ thông tin, marketing, thương mại điện tử.Có kiến thức SEO nâng cao và hiểu rõ các thuật toán.Sử dụng thành thạo Ahref hoặc Semrush, Google Search Console và Google Analytics.Có kiến thức về Content và có khả năng viết nội dung chuẩn SEO.Có kiến thức cơ bản về HTML, CSS và PHP.Có kiến thức cơ bản về marketing online.Có kỹ năng tốt trong: tin học văn phòng, quản lý thời gian và công việc, xử lý vấn đề.",2 người,https://www.topcv.vn/viec-lam/nhan-vien-seo/1190473.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Account Manager,CÔNG TY CỔ PHẦN TRUYỀN THÔNG TOÀN CẦU OMEGA,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 06/01/2024,Quản lý / Giám sát,Marketing / Truyền thông / Quảng cáo,3 năm,Toàn thời gian,1. Background: International/ Big Local Advertising/ digital creative agencies. 2. Experience: At least 3 years of working experience in the Advertising/ Digital creative agency with which at least 1 year of experience in the required positionPrevious position: Senior Account Executive3. KnowledgeDigital planning and execution are requiredIMC planning and execution (from ATL to BTL) are preferred4. SkillsMaster in Client ServiceStrong project management skillsProficient in English5. Personality/ AttitudeStrong ownership and leadershipTeamworkAmbitious and love challengingEager to learn new knowledge6. Education: University Degree,1 người,https://www.topcv.vn/viec-lam/account-manager/1191145.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Chuyên Viên Truyền Thông,Công Ty Cổ Phần Đầu Tư Sado,15 - 20 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoThời trang,3 năm,Toàn thời gian,"Trình độ: Đại học (chuyên ngành MKT, truyền thông, báo chí)Kinh nghiệm: - Kinh nghiệm làm việc tại vị trí tương đương tối thiểu 3 năm- Ưu tiên kinh nghiệm làm việc tại các công ty retail,agencyThông thạo truyền thông đa nền tảngHiểu các chỉ số truyền thông và thương hiệuKỹ năng giao tiếp tốtNắm bắt nhanh những xu hướng trên đa kênhCó năng lực dự đoán, phân tích và giải quyết nhanh các sự cố.Năng động, sáng tạo nhiệt tình trong công việc, không ngừng học hỏi để bắt kịp biến động của socialCó tinh thần trách nhiệm cao.",1 người,https://www.topcv.vn/viec-lam/chuyen-vien-truyen-thong/1190782.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Chuyên Viên Content Marketing,Công Ty Cổ Phần Đầu Tư Sado,14 - 16 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoThời trang,2 năm,Toàn thời gian,"- Nam, Nữ : Tuổi từ 22 - 30- Có kinh nghiệm làm content 02 năm trở lên (ưu tiên lĩnh vực thời trang)- Đam mê marketing, sáng tạo, tinh thần học hỏi cao.- Năng động, hòa đồng, giao tiếp tốt.- Học các chuyên ngành liên quan đến marketing- Đã từng triển khai các chiến dịch truyền thông trên Google, Facebook hoặc email marketing",1 người,https://www.topcv.vn/viec-lam/chuyen-vien-content-marketing/1190816.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Thực Tập Sinh Content Marketing,Công ty Cổ phần Công nghệ Mandu,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Thực tập sinh,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Thực tập,"Sinh viên các ngành: Marketing, truyền thông hoặc các ngành có liên quan tới sản xuất nội dung.Có hiểu biết căn bản về Marketing nói chung và Digital Marketing, Content Marketing.Có kinh nghiệm viết content là lợi thế.Có khả năng chỉnh sửa ảnh/video cơ bản là điểm cộng.Thích sử dụng các mạng xã hội, đặc biệt là Facebook, Tiktok và Instagram.Ham học hỏi, tư duy nhanh nhạy; Sẵn sàng thử mới.Đi làm được tối thiểu từ 20h/ tuần.",1 người,https://www.topcv.vn/viec-lam/thuc-tap-sinh-content-marketing/1191113.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên Quay Dựng ( Video Editor ),Công ty TNHH Công nghệ Think Việt Nam,Tới 15 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoMỹ thuật / Nghệ thuật / Điện ảnh,2 năm,Toàn thời gian,"- Từ 2 năm kinh nghiệm vị trí tương đương- Sử dụng thành thạo phần mềm: Adobe Premiere và các phần mềm phụ trợ liên quan- Khả năng thiết kế, quay phim, dựng phim, chỉnh sửa video- Kỹ năng làm việc nhóm hoặc độc lập- Có trách nhiệm, đam mê, sáng tạo, chi tiết, cẩn thận.- Ham học hỏi, cầu tiến, có khả năng làm việc độc lập.- Trình độ: Cao đẳng, Đại học.",1 người,https://www.topcv.vn/viec-lam/nhan-vien-quay-dung-video-editor/650289.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên Vj/Reviewer (Channel Công Nghệ),Công ty TNHH Công nghệ Think Việt Nam,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáo,1 năm,Bán thời gian,"Kỹ năng cần có: - Có Style riêng- Khả năng truyền tải nội dung qua Content - Giọng nói tốt, ngoại hình ưa nhìn- Làm việc đội nhóm tốt- Làm việc có trách nhiệm, trung thực và đúng tiến độ- Biết sử dụng các công cụ Final Cut Pro, bộ công cụ Adobe (Effect, PTS,..). - Có khả năng research trong quá trình sử dụng. Kiến thức cần có ""- Đam mê công nghệ, thích chia sẻ- Kiến thức công nghệ- Khả năng đứng trước ống kính- Khả năng viết, tư duy và sáng tạo content. - Sử dụng thành thạo tiếng Anh, nghe, đọc hiểu tiếng AnhTính cách - Cẩn thận- Chu đáo- Tỉ mỉ- Ham học hỏi- Chủ động",2 người,https://www.topcv.vn/viec-lam/nhan-vien-vj-reviewer-channel-cong-nghe/752958.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Marketing Executive,BLOKPARTI PTE. LTD,15 - 30 triệu,Hà Nội,Hạn nộp hồ sơ: 31/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,5 năm,Toàn thời gian,"- Have at least 3 YOE in Marketing for the Middle level, and at least 5 YOE in Marketing for the Senior level- Have strong English reading, writing skills; and basic English communication skills- Having experience in the Blockchain Game industry (GameFi) is a plus.- Familiarity with Twitter is a plus- Good management and leadership skills- Research, analytical skills, and Creative thinker- Detail-oriented, open-minded- Be comfortable in using tools to track the quality of work done, making charts from data, and giving ideas- Self-starter, capable of leading and owning a large aspect of the product, having flexibility and ability to prioritize multiple tasks with tight deadlines",2 người,https://www.topcv.vn/viec-lam/marketing-executive/1191007.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên Kinh Doanh Full- Time,Công Ty TNHH Dịch Vụ Truyền Thông Và Du Lịch TNT Media,6 - 10 triệu,Hà Nội,Hạn nộp hồ sơ: 31/01/2024,Nhân viên,Dịch vụ khách hàngKế toán / Kiểm toánMarketing / Truyền thông / Quảng cáo,Không yêu cầu kinh nghiệm,Toàn thời gian,"Nhanh nhẹn, thật thà, năng động.Không ngừng học hỏiCó trách nhiệm cao trong công việc.Có khả năng làm việc nhóm, làm việc độc lập tốt",5 người,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-full-time/1190978.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên Quay Dựng ( Mảng Tuyến Giáp),CHUYÊN KHOA TRỊ GIÃN TĨNH MẠCH AN VIÊN,12 - 15 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoY tế / DượcSpa / Làm đẹp,2 năm,Toàn thời gian,"- Học chuyên ngành, khóa học có liên quan đến quay dựng hoặc có đam mê với công việc- Có kỹ năng sử dụng các loại máy quay chụp loại mirrorless như sony a6400 và gimbal- Sử dụng thành thạo Pr, biết dùng Ef ở mức cơ bản, chỉnh màu, khớp tiếng cho video- Nhạy bén, sáng tạo trong sử dụng hiệu ứng và âm thanh trong dựng video- Có kỹ năng tìm kiếm tư liệu trên internet và sáng tạo trong các sản phẩm làm ra- Có kinh nghiệm làm ngành thẩm mỹ, sức khoẻ là một lợi thế",2 người,https://www.topcv.vn/viec-lam/nhan-vien-quay-dung-mang-tuyen-giap/1190972.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Cán Bộ Marketing Truyền Thông - Swinburne,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,Thoả thuận,Hồ Chí Minh,Hạn nộp hồ sơ: 08/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"Tốt nghiệp Đại học trở lên (ngành Marketing, Truyền thông, Biz là một lợi thế)Sử dụng thành thạo CRMTinh thần luôn sáng tạo và đổi mới các làm để đạt hiệu quả cao.Tinh thần quan sát, sáng tạo đổi mớiLàm việc hướng khách hàng, hiểu khách hàng và luôn nghĩ tới giá trị cho khách hàng;Sự chăm chỉ kiên trì và chú và từng chi tiếtKhả năng giao tiếp tốt và xử lý các vấn đề công việc100% giao tiếp chính thức với sinh viên, giáo viên bằng tiếng Anh",1 người,https://www.topcv.vn/viec-lam/can-bo-marketing-truyen-thong-swinburne/903504.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Nhân Viên Sales Marketing,CÔNG TY TNHH THIẾT KẾ CHẾ TẠO NHẬT MINH,Tới 13 triệu,Bình Dương,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Kinh doanh / Bán hàngMarketing / Truyền thông / Quảng cáoSản xuất,2 năm,Toàn thời gian,"Giới tính: Nữ/ NamNgoại hình: Ưa nhìn, nhanh nhẹn,Kinh nghiệm: 2-3 năm Tuổi: Từ 23 – 26tCó khả năng giao tiếp tốt.Tiếng Anh: Giao tiếp tốtGiỏi Excel, ppt và trình bày tốt.Ưu tiên ứng viên có mối quan hệ với các tổ chức đoàn sở ban ngành trong lĩnh vực công nghiệp/ hội chợ triển lãm.",2 người,https://www.topcv.vn/viec-lam/nhan-vien-sales-marketing/1140299.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Trưởng Phòng Kinh Doanh,Công ty TNHH Thương Mại và Dịch Vụ Kỹ Thuật SECO-SOLAR,Trên 15 triệu,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Trưởng/Phó phòng,Kinh doanh / Bán hàngĐiện / Điện tử / Điện lạnhMarketing / Truyền thông / Quảng cáo,Trên 5 năm,Toàn thời gian,"• Tối thiểu 5 năm kinh nghiệm ở vị trí Trưởng phòng hoặc Giám đốc KD• Ngoại ngữ: yêu cầu giao tiếp Tiếng Trung hoặc Tiếng Anh• Nam độ tuổi 32-38 có sức khỏe tốt, tác phong chuyên nghiệp.• Tốt nghiệp đại học trở lên, ưu tiên ứng viên tốt nghiệp các trường kỹ thuật.• Sử dụng thành thạo tin học văn phòng.• Có khả năng thương lượng, đàm phán, thuyết phục.• Khả năng lãnh đạo, đào tạo, cố vấn và quản lý tốt.• Kỹ năng thuyết trình và giao tiếp• Người có thể truyền cảm hứng và thúc đẩy động lực làm việc của nhân viên.• Kỹ năng phân tích và giải quyết vấn đề• Có khả năng lập kế hoạch, tổ chức và phối hợp nhiều nhiệm vụ cùng lúc",1 người,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh/933404.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Creator Operation,CÔNG TY CỔ PHẦN MBC STUDIO,11 - 20 triệu,Hồ Chí Minh,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáo,1 năm,Toàn thời gian,"Khả năng giao tiếp, xử lý tình huống Có kinh nghiệm làm việc với Creator/KOL hoặc sản xuất nội dung Tiktok/ livestream là một lợi thế. Có kinh nghiệm trong ngành marketing, truyền thông sáng tạo Có khả năng làm việc nhóm, lập kế hoạch, báo cáo và trình bày ý tưởng một cách rõ ràng",2 người,https://www.topcv.vn/viec-lam/creator-operation/1190890.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056129
Biên Tập Viên (Kinh Nghiệm Từ 2 Năm),Công ty TNHH Dịch vụ Truyền thông và GP Marketing MekongPro,Thoả thuận,Cần Thơ,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Báo chí / Truyền hìnhMarketing / Truyền thông / Quảng cáoTổ chức sự kiện / Quà tặng,2 năm,Toàn thời gian,"Kinh nghiệm liên quan từ 2 năm trở lên, có khả năng sáng tạoKhả năng làm việc nhóm tốtKhả năng quản lý sự kiện & xử lý tình huống phát sinhThành thạo vi tính văn phòngTrung thực, siêng năng, chịu khó và cẩn thận caoNhanh nhẹn, có trách nhiệm với công việc, có tinh thần học hỏi.",1 người,https://www.topcv.vn/viec-lam/bien-tap-vien-kinh-nghiem-tu-2-nam/1190862.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056137
Nhân Viên Marketing Nội Thất,CÔNG TY CP NỘI THẤT DUY KHÔI,Thoả thuận,Hà Nội,Hạn nộp hồ sơ: 06/01/2024,Nhân viên,Marketing / Truyền thông / Quảng cáoThiết kế nội thấtSpa / Làm đẹp,3 năm,Toàn thời gian,"- Độ tuổi: 1994 đến 1988- Tốt nghiệp chuyên ngành Marketing, Quản trị kinh doanh, Thương mại.- Có ít nhất 3 năm kinh nghiệm tại vị trí tương đương (Ưu tiên làm trong ngành dịch vụ đào tạo).- Kỹ năng xây dựng, triển khai kế hoạch, và kỹ năng quản lý tốt.- Nhanh nhẹn, nhiệt tình và quyết liệt với công việc.- Ưu tiên các ứng viên có kinh nghiệm và kỹ năng triển khai Digital marketing xuất sắc.",2 người,https://www.topcv.vn/viec-lam/nhan-vien-marketing-noi-that/1190878.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056137
Ads Monetization Optimizer,CÔNG TY CỔ PHẦN IKAME VIỆT NAM,9 - 36 triệu,Hà Nội,Hạn nộp hồ sơ: 31/01/2024,Nhân viên,IT phần mềmMarketing / Truyền thông / Quảng cáoCông nghệ thông tinViệc làm IT,Không yêu cầu kinh nghiệm,Toàn thời gian,"Đối với chưa có kinh nghiệm: Ưu tiên có kinh nghiệm trong ngành Adtech, MartechĐối với đã kinh nghiệm: Ít nhất 1 năm tại vị trí tương đươngĐã từng làm việc trên Google Ad Manager Platform là một lợi thếHiểu biết cơ bản về Google Cloud, Data Flow, Bigquery, SQLBiết sử dụng Google Cloud Platform, App Script, App EngineerTiếng Anh giao tiếp tốt là một lợi thếYêu thích chơi game, mong muốn phát triển sự nghiệp trong ngành game",2 người,https://www.topcv.vn/viec-lam/ads-monetization-optimizer/476324.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056137
Marketing Manager,CÔNG TY CỔ PHẦN PHÁT TRIỂN GIẢI PHÁP VÀ CÔNG NGHỆ THÔNG TIN VIỆT NAM,"1,500 - 2,500 USD",Hà Nội,Hạn nộp hồ sơ: 30/01/2024,Trưởng/Phó phòng,Báo chí / Truyền hìnhIT phần mềmMarketing / Truyền thông / Quảng cáoViệc làm IT,2 năm,Toàn thời gian,"Có 2 năm kinh nghiệm trở lên ở vị trí tương đương trong lĩnh vực Kinh doanh online, Digital marketing.Có kinh nghiệm trực tiếp triển khai chạy Performance Marketing.Cầu tiến và muốn phát triển nhanh.Tư duy logic tốt, nhanh nhạy với số liệu.Có kinh nghiệm làm ở các công ty công nghệ là điểm cộng.Có thành tích trong công việc cũ là 1 điểm cộng lớn.",3 người,https://www.topcv.vn/viec-lam/marketing-manager/1164946.html?ta_source=JobSearchList_LinkDetail&u_sr_id=4Idcmcl5oLyuL9iHnPGpcP3HJQmgGqkAH2a3rGTD_1703056137
